sequence,count,length
putPackages2Bag -> assignBagWithIdentifyBag -> confirmTmpPickedPackageStatus -> PickupBill -> PickupCrossProvinceBill -> updatePickedByCod -> distributorCfmReturning -> importStationByDistributer -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,1,11
changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> assignCodPicking -> changeCodForPackagesInCart -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill,1,28
printfPackage -> confirmTmpDeliveredPackageStatus -> updateDelayDeliveringByCod -> RefundBill -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage,1,7
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> PickupCrossProvinceBill -> updatePickedByCod -> PickupBill -> confirmTmpPickedPackageStatus -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,1,13
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> changePackageStatus -> changeCodForPackagesInCart -> assignCodPicking -> changeCodForPackagesInCart -> changePackageStatus -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changeCodForPackagesInCart -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod,1,24
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> importStationByDistributer -> distributorCfmReturning,1,6
confirmTmpDeliveredPackageStatus -> updateDelayDeliveringByCod -> RefundBill -> distributorCfmDeliver -> confirmTmpDeliveredPackageStatus -> updateNotDeliveredByCod -> RefundBill,1,7
confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changePackageStatus -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> changeCodForPackagesInCart -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus,1,33
changePackageStatus -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> assignCodPicking -> changeCodForPackagesInCart -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> verifySessionBags -> TakeAPhotoReturnRequest -> importStationByDistributer -> distributorCfmReturning,1,28
changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> changeCodForPackagesInCart -> changePackageStatus -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus -> ArrivePickingPoint -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> changeCodForPackagesInCart -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod,1,31
assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> TakeAPhotoReturnRequest -> distributorCfmReturning -> importStationByDistributer -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,1,18
verifySessionBags -> confirmTmpDeliveredPackageStatus -> RefundBill -> updateDelayDeliveringByCod,1,4
NVBCConfirmImageWorkshift -> confirmTmpDeliveredPackageStatus -> RefundBill -> updateDeliveredCompletelyByCod,1,4
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> changePackageStatus -> assignCodPicking -> changeCodForPackagesInCart -> changeCodForPackagesInCart -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> changeCodForPackagesInCart -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> TakeAPhotoReturnRequest -> importStationByDistributer -> distributorCfmReturning,1,31
changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,1,8
changePackageStatus -> assignCodPicking -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> assignCodPicking -> changeCodForPackagesInCart -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus,1,26
assignCodPicking -> putPackages2Bag -> smartScaleScanningPackage -> putInBox -> updatePickedByCod -> PickupCrossProvinceBill -> confirmTmpPickedPackageStatus -> PickupBill,1,8
changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus -> changeCodForPackagesInCart -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus -> ArrivePickingPoint -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,1,41
assignCodPicking -> assignCodPicking -> assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> PickupBill -> updatePickedByCod -> PickupCrossProvinceBill -> confirmTmpPickedPackageStatus -> cfmTransit -> TransferToBothBill -> distributorCfmReturning -> importStationByDistributer,1,13
changePackageStatus -> assignCodPicking -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> changeCodForPackagesInCart -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill,1,24
changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> assignCodPicking -> changeCodForPackagesInCart -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus,1,20
assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking,1,5
updateReinforcedPackages -> printfPackage -> cfmImpPkgFrPONew -> putPackages2Bag -> takeOutPackages2Bag -> putPackages2Bag -> putInBox,1,7
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> PickupBill -> updatePickedByCod -> PickupCrossProvinceBill -> confirmTmpPickedPackageStatus,1,10
changePackageStatus -> smartScaleScanningPackage -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod,1,5
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> assignCodPicking -> changePackageStatus -> assignCodPicking -> changeCodForPackagesInCart -> changeCodForPackagesInCart -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> changeCodForPackagesInCart -> changePackageStatus,1,30
assignCodPicking -> smartScaleScanningPackage -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupBill -> PickupCrossProvinceBill -> putPackages2Bag -> putInBox,1,8
updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> PickupBill -> updatePickedByCod -> confirmTmpPickedPackageStatus,1,15
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,1,24
privateNotePackage -> updateDeliverWorkshiftByCod -> checkPackageSealScanned -> saveIsfrageImages -> distributorCfmDeliver,1,5
distributorCfmReturning -> importStationByDistributer -> updateDelayReturningByCod -> confirmTmpDelayReturningPackageStatus -> ReturnBill -> distributorCfmReturning -> importStationByDistributer,1,7
changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> changeCodForPackagesInCart -> changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> changeCodForPackagesInCart -> changePackageStatus -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> changeCodForPackagesInCart -> changePackageStatus,1,32
verifySessionPackage -> smartScaleScanningPackage -> putPackages2Bag -> putInBox -> confirmTmpReturnedPackageStatus -> ReturnBill -> updateReturnedByCod,1,7
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> changePackageStatus -> assignCodPicking -> changeCodForPackagesInCart -> changeCodForPackagesInCart -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> changeCodForPackagesInCart -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> changeCodForPackagesInCart -> changePackageStatus -> cfmTransit -> TransferToBothBill,1,32
assignCodPicking -> assignCodPicking -> assignCodPicking -> verifySessionPackage -> verifySessionPackage -> smartScaleScanningPackage -> importStationByDistributer -> distributorCfmReturning -> delayReturnPackageReason -> updateTmpReturningStatus -> updateTmpReturningStatus -> verifySessionPackage -> verifySessionPackage,1,13
privateNotePackage -> editPackage -> changeCustomerFirstAddress -> changeCart -> changeTransferStationByChangeCart -> printfPackage -> updateDeliverWorkShiftPackage -> cfmTransit -> TransferToBothBill,1,9
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> changePackageStatus -> assignCodPicking -> changeCodForPackagesInCart -> changeCodForPackagesInCart -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> verifySessionBags -> TakeAPhotoReturnRequest -> importStationByDistributer -> distributorCfmReturning,1,28
confirmTmpDeliveredPackageStatus -> updateDelayDeliveringByCod -> RefundBill -> distributorCfmDeliver -> updateDelayDeliveringByCod -> confirmTmpDeliveredPackageStatus -> RefundBill -> distributorCfmDeliver -> confirmTmpDeliveredPackageStatus -> updateDelayDeliveringByCod -> RefundBill -> distributorCfmDeliver,1,12
PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> changePackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> changePackageStatus -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> changeCodForPackagesInCart -> changePackageStatus -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus -> ArrivePickingPoint -> changeCodForPackagesInCart -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> changeCodForPackagesInCart -> changePackageStatus -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,1,44
